source,target,weight,resources,references,sign_decision
NFATC2,CD3E,1.0,ExTRI,12374807;16219537,default activation
JUN,COL1A2,1.0,ExTRI,12384935;8621730,default activation
PAX5,BLNK,1.0,ExTRI;NTNU.Curated;Pavlidis2021,12387741,PMID
JUN,SERPINE1,1.0,ExTRI;NTNU.Curated,10591684;11223948;11440364;12390531;12905745;14592829;15069077;16105028;17890327;19088796;19288028;19887897;20351105;21969564;22926518;8342330;8917435,PMID
JUN,PRKG1,1.0,ExTRI,12392602,default activation
NR2F1,CAMK4,1.0,ExTRI,12403833,default activation
JUN,ALAS2,1.0,ExTRI,12433930,default activation
MITF,SNAI2,1.0,ExTRI;NTNU.Curated;TFactS,12444107;1999537,PMID
ID1,CD79A,1.0,ExTRI,12446773;18641300,default activation
MYC,ID2,1.0,DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST,12447693;12545167;12695333;12824180;18437010;18483244,PMID
ID2,MYC,-1.0,ExTRI;NTNU.Curated,16776654;19289167;24573694,PMID
EPAS1,KDR,1.0,ExTRI;GEREDB,12464608;15192019,PMID
NRG1,VEGFC,1.0,ExTRI,12471041,default activation
HES1,IL1B,1.0,ExTRI,12488457,default activation
HES1,PTGDS,-1.0,DoRothEA-A;ExTRI;HTRI;SIGNOR;TRRUST,12488457;15743775,PMID
ID1,THBS1,-1.0,ExTRI;GEREDB;TFactS,12498716;19710505,PMID
PPARG,RETN,-1.0,ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST,12504108;16876120;19126543;19564408;20360975,PMID
JUN,TIMP1,1.0,ExTRI;GEREDB;NTNU.Curated;TFactS,12525489;15777790;2159816;8557686;8559663;8601460,PMID
KLF1,KLF1,1.0,ExTRI,12556498,default activation
KLF1,GP9,1.0,ExTRI,12556498,default activation
KLF5,KLF5,1.0,ExTRI,12568725;16102021;17178721;19240162;21566082;24440658,default activation
NRG1,EGFR,1.0,ExTRI,12569369,default activation
GATA3,GATA3,1.0,ExTRI;GOA;HTRI;TRRUST,12594267;17616709;17658279;19559773;20484083;21383068;23684985;24578067;7720565,PMID
ESR1,CCL5,1.0,CytReg;ExTRI,12603855;26790618,PMID
MEIS1,PF4,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,12609849;12732210;15187018,PMID
JUN,IFNG,1.0,CytReg;DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST,11801649;11943142;12626576;12836278;1314139;14734615;15187132;15522880;16713974;17105733;17556653;18641343;19265145;20006311;20304822;22123848;22351517;22413812;7759501;8756632;9558063,PMID
MYC,SPP1,1.0,ExTRI,12650610,default activation
PPARG,CXCL8,-1.0,ExTRI;GEREDB;NTNU.Curated,12695526;15331599;15720834;16303327;18485432;19395102;20107546;20554962;20889551,PMID
EBF1,IGLL1,1.0,ExTRI,12748286;15737573;17363301;9252117,default activation
